啊 a
阿 a e
埃 ai
挨 ai
哎 ai
唉 ai
哀 ai
皑 ai
癌 ai
蔼 ai
矮 ai
艾 ai yi
碍 ai
爱 ai
隘 ai
鞍 an
氨 an
安 an
俺 an
按 an
暗 an
岸 an
胺 an
案 an
肮 ang
昂 ang
盎 ang
凹 ao
敖 ao
熬 ao
翱 ao
袄 ao
傲 ao
奥 ao
懊 ao
澳 ao
芭 ba
捌 ba
扒 ba pa
叭 ba
吧 ba
笆 ba
八 ba
疤 ba
巴 ba
拔 ba
跋 ba
靶 ba
把 ba
耙 ba pa
坝 ba
霸 ba
罢 ba
爸 ba
白 bai
柏 bai bo
百 bai
摆 bai
佰 bai
败 bai
拜 bai
稗 bai
斑 ban
班 ban
搬 ban
扳 ban
般 ban
颁 ban
板 ban
版 ban
扮 ban
拌 ban
伴 ban
瓣 ban
半 ban
办 ban
绊 ban
邦 bang
帮 bang
梆 bang
榜 bang
膀 bang
绑 bang
棒 bang
磅 bang pang
蚌 bang beng
镑 bang
傍 bang
谤 bang
苞 bao
胞 bao
包 bao
褒 bao
剥 bao bo
薄 bao bo
雹 bao
保 bao
堡 bao
饱 bao
宝 bao
抱 bao
报 bao
暴 bao pu
豹 bao
鲍 bao
爆 bao
杯 bei
碑 bei
悲 bei
卑 bei
北 bei
辈 bei
背 bei
贝 bei
钡 bei
倍 bei
狈 bei
备 bei
惫 bei
焙 bei
被 bei pi
奔 ben
苯 ben
本 ben
笨 ben
崩 beng
绷 beng
甭 beng
泵 beng
蹦 beng
迸 beng
逼 bi
鼻 bi
比 bi
鄙 bi
笔 bi
彼 bi
碧 bi
蓖 bi
蔽 bi
毕 bi
毙 bi
毖 bi
币 bi
庇 bi
痹 bi
闭 bi
敝 bi
弊 bi
必 bi
辟 bi pi
壁 bi
臂 bi
避 bi
陛 bi
鞭 bian
边 bian
编 bian
贬 bian
扁 bian
便 bian pian
变 bian
卞 bian
辨 bian
辩 bian
辫 bian
遍 bian
标 biao
彪 biao
膘 biao
表 biao
鳖 bie
憋 bie
别 bie
瘪 bie
彬 bin
斌 bin
濒 bin
滨 bin
宾 bin
摈 bin
兵 bing
冰 bing
柄 bing
丙 bing
秉 bing
饼 bing
炳 bing
病 bing
并 bing
玻 bo
菠 bo
播 bo
拨 bo
钵 bo
波 bo
博 bo
勃 bo
搏 bo
铂 bo
箔 bo
伯 bo
帛 bo
舶 bo
脖 bo
膊 bo
渤 bo
泊 bo
驳 bo
捕 bu
卜 bu bo
哺 bu
补 bu
埠 bu
不 bu
布 bu
步 bu
簿 bu
部 bu
怖 bu
擦 ca
猜 cai
裁 cai
材 cai
才 cai
财 cai
睬 cai
踩 cai
采 cai
彩 cai
菜 cai
蔡 cai
餐 can
参 can cen shen
蚕 can
残 can
惭 can
惨 can
灿 can
苍 cang
舱 cang
仓 cang
沧 cang
藏 cang
操 cao
糙 cao
槽 cao
曹 cao
草 cao
厕 ce
策 ce
侧 ce
册 ce
测 ce
层 ceng
蹭 ceng
插 cha
叉 cha
茬 cha
茶 cha
查 cha
碴 cha
搽 cha
察 cha
岔 cha
差 cha ci chai
诧 cha
拆 chai
柴 chai
豺 chai
搀 chan
掺 chan
蝉 chan
馋 chan
谗 chan
缠 chan
铲 chan
产 chan
阐 chan
颤 chan
昌 chang
猖 chang
场 chang
尝 chang
常 chang
长 chang zhang
偿 chang
肠 chang
厂 chang
敞 chang
畅 chang
唱 chang
倡 chang
超 chao
抄 chao
钞 chao
朝 chao zhao
嘲 chao
潮 chao
巢 chao
吵 chao
炒 chao
车 che ju
扯 che
撤 che
掣 che
