0101 　 A1A1 3000 E38080   0102 、 A1A2 3001 E38081
0157 ≠ A1D9 2260 E289A0   0158 ≮ A1DA 226E E289AE
0159 ≯ A1DB 226F E289AF   0160 ≤ A1DC 2264 E289A4
0161 ≥ A1DD 2265 E289A5   0162 ∞ A1DE 221E E2889E
0163 ∵ A1DF 2235 E288B5   0164 ∴ A1E0 2234 E288B4
0165 ♂ A1E1 2642 E29982   0166 ♀ A1E2 2640 E29980
0167 ° A1E3 00B0 C2B0     0168 ′ A1E4 2032 E280B2
0169 ″ A1E5 2033 E280B3   0170 ℃ A1E6 2103 E28483
0171 ＄ A1E7 FF04 EFBC84   0172 ¤ A1E8 00A4 C2A4  
0173 ￠ A1E9 FFE0 EFBFA0   0174 ￡ A1EA FFE1 EFBFA1
0175 ‰ A1EB 2030 E280B0   0176 § A1EC 00A7 C2A7  
0177 № A1ED 2116 E28496   0178 ☆ A1EE 2606 E29886
0179 ★ A1EF 2605 E29885   0180 ○ A1F0 25CB E2978B
0181 ● A1F1 25CF E2978F   0182 ◎ A1F2 25CE E2978E
0183 ◇ A1F3 25C7 E29787   0184 ◆ A1F4 25C6 E29786
0185 □ A1F5 25A1 E296A1   0186 ■ A1F6 25A0 E296A0
0187 △ A1F7 25B3 E296B3   0188 ▲ A1F8 25B2 E296B2
0189 ※ A1F9 203B E280BB   0190 → A1FA 2192 E28692
0191 ← A1FB 2190 E28690   0192 ↑ A1FC 2191 E28691
0193 ↓ A1FD 2193 E28693   0194 〓 A1FE 3013 E38093
0201 　 null null null     0202 　 null null null  
0203 　 null null null     0204 　 null null null  
0205 　 null null null     0206 　 null null null  
0207 　 null null null     0208 　 null null null  
0209 　 null null null     0210 　 null null null  
0211 　 null null null     0212 　 null null null  
0213 　 null null null     0214 　 null null null  
0215 　 null null null     0216 　 null null null  
0217 ⒈ A2B1 2488 E29288   0218 ⒉ A2B2 2489 E29289
0219 ⒊ A2B3 248A E2928A   0220 ⒋ A2B4 248B E2928B
0221 ⒌ A2B5 248C E2928C   0222 ⒍ A2B6 248D E2928D
0223 ⒎ A2B7 248E E2928E   0224 ⒏ A2B8 248F E2928F
0225 ⒐ A2B9 2490 E29290   0226 ⒑ A2BA 2491 E29291
0227 ⒒ A2BB 2492 E29292   0228 ⒓ A2BC 2493 E29293
0229 ⒔ A2BD 2494 E29294   0230 ⒕ A2BE 2495 E29295
0231 ⒖ A2BF 2496 E29296   0232 ⒗ A2C0 2497 E29297
0233 ⒘ A2C1 2498 E29298   0234 ⒙ A2C2 2499 E29299
0235 ⒚ A2C3 249A E2929A   0236 ⒛ A2C4 249B E2929B
0237 ⑴ A2C5 2474 E291B4   0238 ⑵ A2C6 2475 E291B5
0239 ⑶ A2C7 2476 E291B6   0240 ⑷ A2C8 2477 E291B7
0241 ⑸ A2C9 2478 E291B8   0242 ⑹ A2CA 2479 E291B9
0243 ⑺ A2CB 247A E291BA   0244 ⑻ A2CC 247B E291BB
0245 ⑼ A2CD 247C E291BC   0246 ⑽ A2CE 247D E291BD
0247 ⑾ A2CF 247E E291BE   0248 ⑿ A2D0 247F E291BF
0249 ⒀ A2D1 2480 E29280   0250 ⒁ A2D2 2481 E29281
0251 ⒂ A2D3 2482 E29282   0252 ⒃ A2D4 2483 E29283
0253 ⒄ A2D5 2484 E29284   0254 ⒅ A2D6 2485 E29285
0255 ⒆ A2D7 2486 E29286   0256 ⒇ A2D8 2487 E29287
0257 ① A2D9 2460 E291A0   0258 ② A2DA 2461 E291A1
0259 ③ A2DB 2462 E291A2   0260 ④ A2DC 2463 E291A3
0261 ⑤ A2DD 2464 E291A4   0262 ⑥ A2DE 2465 E291A5
0263 ⑦ A2DF 2466 E291A6   0264 ⑧ A2E0 2467 E291A7
0265 ⑨ A2E1 2468 E291A8   0266 ⑩ A2E2 2469 E291A9
0267 　 null null null     0268 　 null null null  
0269 ㈠ A2E5 3220 E388A0   0270 ㈡ A2E6 3221 E388A1
0271 ㈢ A2E7 3222 E388A2   0272 ㈣ A2E8 3223 E388A3
0273 ㈤ A2E9 3224 E388A4   0274 ㈥ A2EA 3225 E388A5
0275 ㈦ A2EB 3226 E388A6   0276 ㈧ A2EC 3227 E388A7
0277 ㈨ A2ED 3228 E388A8   0278 ㈩ A2EE 3229 E388A9
0279 　 null null null     0280 　 null null null  
0281 Ⅰ A2F1 2160 E285A0   0282 Ⅱ A2F2 2161 E285A1
0283 Ⅲ A2F3 2162 E285A2   0284 Ⅳ A2F4 2163 E285A3
0285 Ⅴ A2F5 2164 E285A4   0286 Ⅵ A2F6 2165 E285A5
0287 Ⅶ A2F7 2166 E285A6   0288 Ⅷ A2F8 2167 E285A7
0289 Ⅸ A2F9 2168 E285A8   0290 Ⅹ A2FA 2169 E285A9
0291 Ⅺ A2FB 216A E285AA   0292 Ⅻ A2FC 216B E285AB
0293 　 null null null     0294 　 null null null  
0301 ！ A3A1 FF01 EFBC81   0302 ＂ A3A2 FF02 EFBC82
0303 ＃ A3A3 FF03 EFBC83   0304 ￥ A3A4 FFE5 EFBFA5
0305 ％ A3A5 FF05 EFBC85   0306 ＆ A3A6 FF06 EFBC86
0307 ＇ A3A7 FF07 EFBC87   0308 （ A3A8 FF08 EFBC88
0309 ） A3A9 FF09 EFBC89   0310 ＊ A3AA FF0A EFBC8A
0311 ＋ A3AB FF0B EFBC8B   0312 ， A3AC FF0C EFBC8C
0313 － A3AD FF0D EFBC8D   0314 ． A3AE FF0E EFBC8E
0315 ／ A3AF FF0F EFBC8F   0316 ０ A3B0 FF10 EFBC90
0317 １ A3B1 FF11 EFBC91   0318 ２ A3B2 FF12 EFBC92
0319 ３ A3B3 FF13 EFBC93   0320 ４ A3B4 FF14 EFBC94
0321 ５ A3B5 FF15 EFBC95   0322 ６ A3B6 FF16 EFBC96
0323 ７ A3B7 FF17 EFBC97   0324 ８ A3B8 FF18 EFBC98
0325 ９ A3B9 FF19 EFBC99   0326 ： A3BA FF1A EFBC9A
0327 ； A3BB FF1B EFBC9B   0328 ＜ A3BC FF1C EFBC9C
0329 ＝ A3BD FF1D EFBC9D   0330 ＞ A3BE FF1E EFBC9E
0331 ？ A3BF FF1F EFBC9F   0332 ＠ A3C0 FF20 EFBCA0
0333 Ａ A3C1 FF21 EFBCA1   0334 Ｂ A3C2 FF22 EFBCA2
0335 Ｃ A3C3 FF23 EFBCA3   0336 Ｄ A3C4 FF24 EFBCA4
0337 Ｅ A3C5 FF25 EFBCA5   0338 Ｆ A3C6 FF26 EFBCA6
0339 Ｇ A3C7 FF27 EFBCA7   0340 Ｈ A3C8 FF28 EFBCA8
0341 Ｉ A3C9 FF29 EFBCA9   0342 Ｊ A3CA FF2A EFBCAA
0343 Ｋ A3CB FF2B EFBCAB   0344 Ｌ A3CC FF2C EFBCAC
0345 Ｍ A3CD FF2D EFBCAD   0346 Ｎ A3CE FF2E EFBCAE
0347 Ｏ A3CF FF2F EFBCAF   0348 Ｐ A3D0 FF30 EFBCB0
0349 Ｑ A3D1 FF31 EFBCB1   0350 Ｒ A3D2 FF32 EFBCB2
0351 Ｓ A3D3 FF33 EFBCB3   0352 Ｔ A3D4 FF34 EFBCB4
0353 Ｕ A3D5 FF35 EFBCB5   0354 Ｖ A3D6 FF36 EFBCB6
0355 Ｗ A3D7 FF37 EFBCB7   0356 Ｘ A3D8 FF38 EFBCB8
0357 Ｙ A3D9 FF39 EFBCB9   0358 Ｚ A3DA FF3A EFBCBA
0359 ［ A3DB FF3B EFBCBB   0360 ＼ A3DC FF3C EFBCBC
0361 ］ A3DD FF3D EFBCBD   0362 ＾ A3DE FF3E EFBCBE
0363 ＿ A3DF FF3F EFBCBF   0364 ｀ A3E0 FF40 EFBD80
0365 ａ A3E1 FF41 EFBD81   0366 ｂ A3E2 FF42 EFBD82
0367 ｃ A3E3 FF43 EFBD83   0368 ｄ A3E4 FF44 EFBD84
0369 ｅ A3E5 FF45 EFBD85   0370 ｆ A3E6 FF46 EFBD86
0371 ｇ A3E7 FF47 EFBD87   0372 ｈ A3E8 FF48 EFBD88
0373 ｉ A3E9 FF49 EFBD89   0374 ｊ A3EA FF4A EFBD8A
0375 ｋ A3EB FF4B EFBD8B   0376 ｌ A3EC FF4C EFBD8C
0377 ｍ A3ED FF4D EFBD8D   0378 ｎ A3EE FF4E EFBD8E
0379 ｏ A3EF FF4F EFBD8F   0380 ｐ A3F0 FF50 EFBD90
0381 ｑ A3F1 FF51 EFBD91   0382 ｒ A3F2 FF52 EFBD92
0383 ｓ A3F3 FF53 EFBD93   0384 ｔ A3F4 FF54 EFBD94
0385 ｕ A3F5 FF55 EFBD95   0386 ｖ A3F6 FF56 EFBD96
0387 ｗ A3F7 FF57 EFBD97   0388 ｘ A3F8 FF58 EFBD98
0389 ｙ A3F9 FF59 EFBD99   0390 ｚ A3FA FF5A EFBD9A
0391 ｛ A3FB FF5B EFBD9B   0392 ｜ A3FC FF5C EFBD9C
0393 ｝ A3FD FF5D EFBD9D   0394 ￣ A3FE FFE3 EFBFA3
0401 ぁ A4A1 3041 E38181   0402 あ A4A2 3042 E38182
0403 ぃ A4A3 3043 E38183   0404 い A4A4 3044 E38184
0405 ぅ A4A5 3045 E38185   0406 う A4A6 3046 E38186
0407 ぇ A4A7 3047 E38187   0408 え A4A8 3048 E38188
0409 ぉ A4A9 3049 E38189   0410 お A4AA 304A E3818A
0411 か A4AB 304B E3818B   0412 が A4AC 304C E3818C
0413 き A4AD 304D E3818D   0414 ぎ A4AE 304E E3818E
0415 く A4AF 304F E3818F   0416 ぐ A4B0 3050 E38190
0417 け A4B1 3051 E38191   0418 げ A4B2 3052 E38192
0419 こ A4B3 3053 E38193   0420 ご A4B4 3054 E38194
0421 さ A4B5 3055 E38195   0422 ざ A4B6 3056 E38196
0423 し A4B7 3057 E38197   0424 じ A4B8 3058 E38198
0425 す A4B9 3059 E38199   0426 ず A4BA 305A E3819A
0427 せ A4BB 305B E3819B   0428 ぜ A4BC 305C E3819C
0429 そ A4BD 305D E3819D   0430 ぞ A4BE 305E E3819E
0431 た A4BF 305F E3819F   0432 だ A4C0 3060 E381A0
0433 ち A4C1 3061 E381A1   0434 ぢ A4C2 3062 E381A2
0435 っ A4C3 3063 E381A3   0436 つ A4C4 3064 E381A4
0437 づ A4C5 3065 E381A5   0438 て A4C6 3066 E381A6
0439 で A4C7 3067 E381A7   0440 と A4C8 3068 E381A8
0441 ど A4C9 3069 E381A9   0442 な A4CA 306A E381AA
0443 に A4CB 306B E381AB   0444 ぬ A4CC 306C E381AC
0445 ね A4CD 306D E381AD   0446 の A4CE 306E E381AE
0447 は A4CF 306F E381AF   0448 ば A4D0 3070 E381B0
0449 ぱ A4D1 3071 E381B1   0450 ひ A4D2 3072 E381B2
0451 び A4D3 3073 E381B3   0452 ぴ A4D4 3074 E381B4
0453 ふ A4D5 3075 E381B5   0454 ぶ A4D6 3076 E381B6
0455 ぷ A4D7 3077 E381B7   0456 へ A4D8 3078 E381B8
0457 べ A4D9 3079 E381B9   0458 ぺ A4DA 307A E381BA
0459 ほ A4DB 307B E381BB   0460 ぼ A4DC 307C E381BC
0461 ぽ A4DD 307D E381BD   0462 ま A4DE 307E E381BE
0463 み A4DF 307F E381BF   0464 む A4E0 3080 E38280
0465 め A4E1 3081 E38281   0466 も A4E2 3082 E38282
0467 ゃ A4E3 3083 E38283   0468 や A4E4 3084 E38284
0469 ゅ A4E5 3085 E38285   0470 ゆ A4E6 3086 E38286
0471 ょ A4E7 3087 E38287   0472 よ A4E8 3088 E38288
0473 ら A4E9 3089 E38289   0474 り A4EA 308A E3828A
0475 る A4EB 308B E3828B   0476 れ A4EC 308C E3828C
0477 ろ A4ED 308D E3828D   0478 ゎ A4EE 308E E3828E
0479 わ A4EF 308F E3828F   0480 ゐ A4F0 3090 E38290
0481 ゑ A4F1 3091 E38291   0482 を A4F2 3092 E38292
0483 ん A4F3 3093 E38293   0484 　 null null null  
0485 　 null null null     0486 　 null null null  
0487 　 null null null     0488 　 null null null  
0489 　 null null null     0490 　 null null null  
0491 　 null null null     0492 　 null null null  
0493 　 null null null     0494 　 null null null  
0501 ァ A5A1 30A1 E382A1   0502 ア A5A2 30A2 E382A2
0503 ィ A5A3 30A3 E382A3   0504 イ A5A4 30A4 E382A4
0505 ゥ A5A5 30A5 E382A5   0506 ウ A5A6 30A6 E382A6
0507 ェ A5A7 30A7 E382A7   0508 エ A5A8 30A8 E382A8
0509 ォ A5A9 30A9 E382A9   0510 オ A5AA 30AA E382AA
0511 カ A5AB 30AB E382AB   0512 ガ A5AC 30AC E382AC
0513 キ A5AD 30AD E382AD   0514 ギ A5AE 30AE E382AE
0515 ク A5AF 30AF E382AF   0516 グ A5B0 30B0 E382B0
0517 ケ A5B1 30B1 E382B1   0518 ゲ A5B2 30B2 E382B2
0519 コ A5B3 30B3 E382B3   0520 ゴ A5B4 30B4 E382B4
0521 サ A5B5 30B5 E382B5   0522 ザ A5B6 30B6 E382B6
0523 シ A5B7 30B7 E382B7   0524 ジ A5B8 30B8 E382B8
0525 ス A5B9 30B9 E382B9   0526 ズ A5BA 30BA E382BA
0527 セ A5BB 30BB E382BB   0528 ゼ A5BC 30BC E382BC
0529 ソ A5BD 30BD E382BD   0530 ゾ A5BE 30BE E382BE
0531 タ A5BF 30BF E382BF   0532 ダ A5C0 30C0 E38380
0533 チ A5C1 30C1 E38381   0534 ヂ A5C2 30C2 E38382
0535 ッ A5C3 30C3 E38383   0536 ツ A5C4 30C4 E38384
0537 ヅ A5C5 30C5 E38385   0538 テ A5C6 30C6 E38386
0539 デ A5C7 30C7 E38387   0540 ト A5C8 30C8 E38388
0541 ド A5C9 30C9 E38389   0542 ナ A5CA 30CA E3838A
0543 ニ A5CB 30CB E3838B   0544 ヌ A5CC 30CC E3838C
0545 ネ A5CD 30CD E3838D   0546 ノ A5CE 30CE E3838E
0547 ハ A5CF 30CF E3838F   0548 バ A5D0 30D0 E38390
0549 パ A5D1 30D1 E38391   0550 ヒ A5D2 30D2 E38392
0551 ビ A5D3 30D3 E38393   0552 ピ A5D4 30D4 E38394
0553 フ A5D5 30D5 E38395   0554 ブ A5D6 30D6 E38396
0555 プ A5D7 30D7 E38397   0556 ヘ A5D8 30D8 E38398
0557 ベ A5D9 30D9 E38399   0558 ペ A5DA 30DA E3839A
0559 ホ A5DB 30DB E3839B   0560 ボ A5DC 30DC E3839C
0561 ポ A5DD 30DD E3839D   0562 マ A5DE 30DE E3839E
0563 ミ A5DF 30DF E3839F   0564 ム A5E0 30E0 E383A0
0565 メ A5E1 30E1 E383A1   0566 モ A5E2 30E2 E383A2
0567 ャ A5E3 30E3 E383A3   0568 ヤ A5E4 30E4 E383A4
0569 ュ A5E5 30E5 E383A5   0570 ユ A5E6 30E6 E383A6
0571 ョ A5E7 30E7 E383A7   0572 ヨ A5E8 30E8 E383A8
0573 ラ A5E9 30E9 E383A9   0574 リ A5EA 30EA E383AA
0575 ル A5EB 30EB E383AB   0576 レ A5EC 30EC E383AC
0577 ロ A5ED 30ED E383AD   0578 ヮ A5EE 30EE E383AE
0579 ワ A5EF 30EF E383AF   0580 ヰ A5F0 30F0 E383B0
0581 ヱ A5F1 30F1 E383B1   0582 ヲ A5F2 30F2 E383B2
0583 ン A5F3 30F3 E383B3   0584 ヴ A5F4 30F4 E383B4
0585 ヵ A5F5 30F5 E383B5   0586 ヶ A5F6 30F6 E383B6
0587 　 null null null     0588 　 null null null  
0589 　 null null null     0590 　 null null null  
0591 　 null null null     0592 　 null null null  
0593 　 null null null     0594 　 null null null  
0601 Α A6A1 0391 CE91     0602 Β A6A2 0392 CE92  
0603 Γ A6A3 0393 CE93     0604 Δ A6A4 0394 CE94  
0605 Ε A6A5 0395 CE95     0606 Ζ A6A6 0396 CE96  
0607 Η A6A7 0397 CE97     0608 Θ A6A8 0398 CE98  
0609 Ι A6A9 0399 CE99     0610 Κ A6AA 039A CE9A  
0611 Λ A6AB 039B CE9B     0612 Μ A6AC 039C CE9C  
0613 Ν A6AD 039D CE9D     0614 Ξ A6AE 039E CE9E  
0615 Ο A6AF 039F CE9F     0616 Π A6B0 03A0 CEA0  
0617 Ρ A6B1 03A1 CEA1     0618 Σ A6B2 03A3 CEA3  
0619 Τ A6B3 03A4 CEA4     0620 Υ A6B4 03A5 CEA5  
0621 Φ A6B5 03A6 CEA6     0622 Χ A6B6 03A7 CEA7  
0623 Ψ A6B7 03A8 CEA8     0624 Ω A6B8 03A9 CEA9  
0625 　 null null null     0626 　 null null null  
0627 　 null null null     0628 　 null null null  
0629 　 null null null     0630 　 null null null  
0631 　 null null null     0632 　 null null null  
0633 α A6C1 03B1 CEB1     0634 β A6C2 03B2 CEB2  
0635 γ A6C3 03B3 CEB3     0636 δ A6C4 03B4 CEB4  
0637 ε A6C5 03B5 CEB5     0638 ζ A6C6 03B6 CEB6  
0639 η A6C7 03B7 CEB7     0640 θ A6C8 03B8 CEB8  
0641 ι A6C9 03B9 CEB9     0642 κ A6CA 03BA CEBA  
0643 λ A6CB 03BB CEBB     0644 μ A6CC 03BC CEBC  
0645 ν A6CD 03BD CEBD     0646 ξ A6CE 03BE CEBE  
0647 ο A6CF 03BF CEBF     0648 π A6D0 03C0 CF80  
0649 ρ A6D1 03C1 CF81     0650 σ A6D2 03C3 CF83  
0651 τ A6D3 03C4 CF84     0652 υ A6D4 03C5 CF85  
0653 φ A6D5 03C6 CF86     0654 χ A6D6 03C7 CF87  
0655 ψ A6D7 03C8 CF88     0656 ω A6D8 03C9 CF89  
0657 　 null null null     0658 　 null null null  
0659 　 null null null     0660 　 null null null  
0661 　 null null null     0662 　 null null null  
0663 　 null null null     0664 　 null null null  
0665 　 null null null     0666 　 null null null  
0667 　 null null null     0668 　 null null null  
0669 　 null null null     0670 　 null null null  
0671 　 null null null     0672 　 null null null  
0673 　 null null null     0674 　 null null null  
0675 　 null null null     0676 　 null null null  
0677 　 null null null     0678 　 null null null  
0679 　 null null null     0680 　 null null null  
0681 　 null null null     0682 　 null null null  
0683 　 null null null     0684 　 null null null  
0685 　 null null null     0686 　 null null null  
0687 　 null null null     0688 　 null null null  
0689 　 null null null     0690 　 null null null  
0691 　 null null null     0692 　 null null null  
0693 　 null null null     0694 　 null null null  
0701 А A7A1 0410 D090     0702 Б A7A2 0411 D091  
0703 В A7A3 0412 D092     0704 Г A7A4 0413 D093  
0705 Д A7A5 0414 D094     0706 Е A7A6 0415 D095  
0707 Ё A7A7 0401 D081     0708 Ж A7A8 0416 D096  
0709 З A7A9 0417 D097     0710 И A7AA 0418 D098  
0711 Й A7AB 0419 D099     0712 К A7AC 041A D09A  
0713 Л A7AD 041B D09B     0714 М A7AE 041C D09C  
0715 Н A7AF 041D D09D     0716 О A7B0 041E D09E  
0717 П A7B1 041F D09F     0718 Р A7B2 0420 D0A0  
0719 С A7B3 0421 D0A1     0720 Т A7B4 0422 D0A2  
0721 У A7B5 0423 D0A3     0722 Ф A7B6 0424 D0A4  
0723 Х A7B7 0425 D0A5     0724 Ц A7B8 0426 D0A6  
0725 Ч A7B9 0427 D0A7     0726 Ш A7BA 0428 D0A8  
0727 Щ A7BB 0429 D0A9     0728 Ъ A7BC 042A D0AA  
0729 Ы A7BD 042B D0AB     0730 Ь A7BE 042C D0AC  
0731 Э A7BF 042D D0AD     0732 Ю A7C0 042E D0AE  
0733 Я A7C1 042F D0AF     0734 　 null null null  
0735 　 null null null     0736 　 null null null  
0737 　 null null null     0738 　 null null null  
0739 　 null null null     0740 　 null null null  
0741 　 null null null     0742 　 null null null  
0743 　 null null null     0744 　 null null null  
0745 　 null null null     0746 　 null null null  
0747 　 null null null     0748 　 null null null  
0749 а A7D1 0430 D0B0     0750 б A7D2 0431 D0B1  
0751 в A7D3 0432 D0B2     0752 г A7D4 0433 D0B3  
0753 д A7D5 0434 D0B4     0754 е A7D6 0435 D0B5  
0755 ё A7D7 0451 D191     0756 ж A7D8 0436 D0B6  
0757 з A7D9 0437 D0B7     0758 и A7DA 0438 D0B8  
0759 й A7DB 0439 D0B9     0760 к A7DC 043A D0BA  
0761 л A7DD 043B D0BB     0762 м A7DE 043C D0BC  
0763 н A7DF 043D D0BD     0764 о A7E0 043E D0BE  
0765 п A7E1 043F D0BF     0766 р A7E2 0440 D180  
0767 с A7E3 0441 D181     0768 т A7E4 0442 D182  
0769 у A7E5 0443 D183     0770 ф A7E6 0444 D184  
0771 х A7E7 0445 D185     0772 ц A7E8 0446 D186  
0773 ч A7E9 0447 D187     0774 ш A7EA 0448 D188  
0775 щ A7EB 0449 D189     0776 ъ A7EC 044A D18A  
0777 ы A7ED 044B D18B     0778 ь A7EE 044C D18C  
0779 э A7EF 044D D18D     0780 ю A7F0 044E D18E  
0781 я A7F1 044F D18F     0782 　 null null null  
0783 　 null null null     0784 　 null null null  
0785 　 null null null     0786 　 null null null  
0787 　 null null null     0788 　 null null null  
0789 　 null null null     0790 　 null null null  
0791 　 null null null     0792 　 null null null  
0793 　 null null null     0794 　 null null null  
0801 ā  A8A1 0101 C481     0802 á  A8A2 00E1 C3A1  
0803 ǎ  A8A3 01CE C78E     0804 à  A8A4 00E0 C3A0  
0805 ē  A8A5 0113 C493     0806 é  A8A6 00E9 C3A9  
0807 ě  A8A7 011B C49B     0808 è  A8A8 00E8 C3A8  
0809 ī  A8A9 012B C4AB     0810 í  A8AA 00ED C3AD  
0811 ǐ  A8AB 01D0 C790     0812 ì  A8AC 00EC C3AC  
0813 ō  A8AD 014D C58D     0814 ó  A8AE 00F3 C3B3  
0815 ǒ  A8AF 01D2 C792     0816 ò  A8B0 00F2 C3B2  
0817 ū  A8B1 016B C5AB     0818 ú  A8B2 00FA C3BA  
0819 ǔ  A8B3 01D4 C794     0820 ù  A8B4 00F9 C3B9  
0821 ǖ  A8B5 01D6 C796     0822 ǘ  A8B6 01D8 C798  
0823 ǚ  A8B7 01DA C79A     0824 ǜ  A8B8 01DC C79C  
0825 ü  A8B9 00FC C3BC     0826 ê  A8BA 00EA C3AA  
0827 　 null null null     0828 　 null null null  
0829 　 null null null     0830 　 null null null  
0831 　 null null null     0832 　 null null null  
0833 　 null null null     0834 　 null null null  
0835 　 null null null     0836 　 null null null  
0837 ㄅ A8C5 3105 E38485   0838 ㄆ A8C6 3106 E38486
0839 ㄇ A8C7 3107 E38487   0840 ㄈ A8C8 3108 E38488
0841 ㄉ A8C9 3109 E38489   0842 ㄊ A8CA 310A E3848A
0843 ㄋ A8CB 310B E3848B   0844 ㄌ A8CC 310C E3848C
0845 ㄍ A8CD 310D E3848D   0846 ㄎ A8CE 310E E3848E
0847 ㄏ A8CF 310F E3848F   0848 ㄐ A8D0 3110 E38490
0849 ㄑ A8D1 3111 E38491   0850 ㄒ A8D2 3112 E38492
0851 ㄓ A8D3 3113 E38493   0852 ㄔ A8D4 3114 E38494
0853 ㄕ A8D5 3115 E38495   0854 ㄖ A8D6 3116 E38496
0855 ㄗ A8D7 3117 E38497   0856 ㄘ A8D8 3118 E38498
0857 ㄙ A8D9 3119 E38499   0858 ㄚ A8DA 311A E3849A
0859 ㄛ A8DB 311B E3849B   0860 ㄜ A8DC 311C E3849C
0861 ㄝ A8DD 311D E3849D   0862 ㄞ A8DE 311E E3849E
0863 ㄟ A8DF 311F E3849F   0864 ㄠ A8E0 3120 E384A0
0865 ㄡ A8E1 3121 E384A1   0866 ㄢ A8E2 3122 E384A2
0867 ㄣ A8E3 3123 E384A3   0868 ㄤ A8E4 3124 E384A4
0869 ㄥ A8E5 3125 E384A5   0870 ㄦ A8E6 3126 E384A6
0871 ㄧ A8E7 3127 E384A7   0872 ㄨ A8E8 3128 E384A8
0873 ㄩ A8E9 3129 E384A9   0874 　 null null null  
0875 　 null null null     0876 　 null null null  
0877 　 null null null     0878 　 null null null  
0879 　 null null null     0880 　 null null null  
0881 　 null null null     0882 　 null null null  
0883 　 null null null     0884 　 null null null  
0885 　 null null null     0886 　 null null null  
0887 　 null null null     0888 　 null null null  
0889 　 null null null     0890 　 null null null  
0891 　 null null null     0892 　 null null null  
0893 　 null null null     0894 　 null null null  
0901 　 null null null     0902 　 null null null  
0903 　 null null null     0904 ─ A9A4 2500 E29480
0905 ━ A9A5 2501 E29481   0906 │ A9A6 2502 E29482
0907 ┃ A9A7 2503 E29483   0908 ┄ A9A8 2504 E29484
0909 ┅ A9A9 2505 E29485   0910 ┆ A9AA 2506 E29486
0911 ┇ A9AB 2507 E29487   0912 ┈ A9AC 2508 E29488
0913 ┉ A9AD 2509 E29489   0914 ┊ A9AE 250A E2948A
0915 ┋ A9AF 250B E2948B   0916 ┌ A9B0 250C E2948C
0917 ┍ A9B1 250D E2948D   0918 ┎ A9B2 250E E2948E
0919 ┏ A9B3 250F E2948F   0920 ┐ A9B4 2510 E29490
0921 ┑ A9B5 2511 E29491   0922 ┒ A9B6 2512 E29492
0923 ┓ A9B7 2513 E29493   0924 └ A9B8 2514 E29494
0925 ┕ A9B9 2515 E29495   0926 ┖ A9BA 2516 E29496
0927 ┗ A9BB 2517 E29497   0928 ┘ A9BC 2518 E29498
0929 ┙ A9BD 2519 E29499   0930 ┚ A9BE 251A E2949A
0931 ┛ A9BF 251B E2949B   0932 ├ A9C0 251C E2949C
0933 ┝ A9C1 251D E2949D   0934 ┞ A9C2 251E E2949E
0935 ┟ A9C3 251F E2949F   0936 ┠ A9C4 2520 E294A0
0937 ┡ A9C5 2521 E294A1   0938 ┢ A9C6 2522 E294A2
0939 ┣ A9C7 2523 E294A3   0940 ┤ A9C8 2524 E294A4
0941 ┥ A9C9 2525 E294A5   0942 ┦ A9CA 2526 E294A6
0943 ┧ A9CB 2527 E294A7   0944 ┨ A9CC 2528 E294A8
