0101 　 A1A1 3000 E38080   0102 、 A1A2 3001 E38081
0103 。 A1A3 3002 E38082   0104 · A1A4 00B7 C2B7  
0105 ˉ A1A5 02C9 CB89     0106 ˇ A1A6 02C7 CB87  
0107 ¨ A1A7 00A8 C2A8     0108 〃 A1A8 3003 E38083
0109 々 A1A9 3005 E38085   0110 — A1AA 2014 E28094
0111 ～ A1AB FF5E EFBD9E   0112 ‖ A1AC 2016 E28096
0113 … A1AD 2026 E280A6   0114 ‘ A1AE 2018 E28098
0115 ’ A1AF 2019 E28099   0116 “ A1B0 201C E2809C
0117 ” A1B1 201D E2809D   0118 〔 A1B2 3014 E38094
0119 〕 A1B3 3015 E38095   0120 〈 A1B4 3008 E38088
0121 〉 A1B5 3009 E38089   0122 《 A1B6 300A E3808A
0123 》 A1B7 300B E3808B   0124 「 A1B8 300C E3808C
0125 」 A1B9 300D E3808D   0126 『 A1BA 300E E3808E
0127 』 A1BB 300F E3808F   0128 〖 A1BC 3016 E38096
0129 〗 A1BD 3017 E38097   0130 【 A1BE 3010 E38090
0131 】 A1BF 3011 E38091   0132 ± A1C0 00B1 C2B1  
0133 × A1C1 00D7 C397     0134 ÷ A1C2 00F7 C3B7  
0135 ∶ A1C3 2236 E288B6   0136 ∧ A1C4 2227 E288A7
0137 ∨ A1C5 2228 E288A8   0138 ∑ A1C6 2211 E28891
0139 ∏ A1C7 220F E2888F   0140 ∪ A1C8 222A E288AA
0141 ∩ A1C9 2229 E288A9   0142 ∈ A1CA 2208 E28888
0143 ∷ A1CB 2237 E288B7   0144 √ A1CC 221A E2889A
0145 ⊥ A1CD 22A5 E28AA5   0146 ∥ A1CE 2225 E288A5
0147 ∠ A1CF 2220 E288A0   0148 ⌒ A1D0 2312 E28C92
0149 ⊙ A1D1 2299 E28A99   0150 ∫ A1D2 222B E288AB
0151 ∮ A1D3 222E E288AE   0152 ≡ A1D4 2261 E289A1
0153 ≌ A1D5 224C E2898C   0154 ≈ A1D6 2248 E28988
0155 ∽ A1D7 223D E288BD   0156 ∝ A1D8 221D E2889D
